今年成都全市1.6万余名环卫工人和困难职工完成免费体检从市总工会了解到，在今年的健康体检民生工程中，全市共有1.6万余名环卫工人和工会建档困难职工参加了免费健康体检，受到职工群众的一致好评成都日报社出版	未
今年， 我距离年薪70万， 又近了一步	未
今年才改名的曲江镇这事到底怎么搞200多人已组团进村	未
今年接近尾声啦，准备最后两个新款图一这个反毛皮康康，我准备了小几十.lindy机车版200个不到	未
今年数名省级政府“一把手”履新 多人跨省调任	未
今年新农合涨到了220元，还交吗社保人和你说出心里话	未
今年新加坡食物中毒已逾903人，说好的食品最安全国家呢	未
今年新改建的运动公园 是否就在你家门口	未
今年日本出现一个怪人，有个叫公开大搜索节目，今年1月份有个失忆人士叫 和田龙人（暂称）tbs官网寻人信息 网页链接2014年6月份在爱知县某个购物中心被人发现他晕倒在厕所里，身上没有任何证件，获救醒来后不知道自己是谁......随后过了一段时间，记忆慢慢恢复，说出令人所有人恐怖的事，称被一个560岁不认识大叔监禁在家里17年，4岁的时候坐家人的车来到大叔家从此就没有离开过，1997年8月份的时候大叔对他说你5岁生日（所以推算他有25岁），监禁期间不能看任何读物广播，语言常识都是趁晚上偷看电视	未
今年春节不回家	未
今年是有史以来波动性最大一年 市场将出现剧烈波动市场将以更疯狂的12月结束2018年的疯狂标准普尔500指数本月平均日波动幅度为2，而道指除三个交易日外均收在三位数波动率指数（VIX）今年已创下13个单日波动率逾20的纪录瑞士信贷股票衍生品策略主管Mandy Xu表示，期权市场警告称，这些剧烈 ...全文	未
今年是煽情诉苦大会//@德林社:	未
今年是食品彩妆集会吗	未
今年晃悠了很多大城市，要么太热，要么太冷，共同点是雾霾太重太重，实在没有留下来的勇气。沿海城市海边的海水脏得不忍直视，大江大河入海口的水质也差得出奇，死鱼死虾成片，很难想象我们生活的环境 绿水青山才是金山银山，可惜再也回不去了	未
今年最后4个双休日，武汉长江二桥8个匝道轮流封闭12月7日22时至12月10日5时，长江二桥C匝道（中山大道上二桥）B匝道（二桥下和平大道）禁止机动车通行12月14日22时至12月17日5时，黄浦立交1号匝道（二桥下解放大道二七路）2号匝道（解放大道永清街方向上二桥）禁止机动车通行12月21日22时至12月24日5时，黄浦立交3号匝道（二桥下解放大道永清街）4号匝道（解放大道二七路方向上二桥）禁止机动车通行12月28日22时至12月31日5时，长江二桥A匝道（和平大道上二桥）D匝道（二	未
今年最后一个月，上海交通出行将发生大变化，件件影响你我的出行	未
今年最后一批记账式附息国债将于本周三发行	未
今年最重空气污染：席卷82座城市 多地启动预警	未
今年最高检对秦岭别墅事件等42件热点事件发函督办	未
今年本来可以发四篇论文，但是现在发稿周期是越来越长了，两篇推到明年了	未
今年杞县一定要留住这些人......	未
今年来，丰都服务民营企业发展，做了这些事	未
今年比较火的“开放银行”是什么样的银行？	未
今年水源地整治仍有39个问题未解决，涉太原九江等27地市	未
今年江苏已有13万余人“交通失信”	未
今年沪已查获酒后驾车8339起 将进一步加大打击力度	未
今年沪报告艾滋病病毒感染者2050例 以男性为主	未
今年，沭阳警察蛮拼的！	未
今年流感疫苗为啥一针难求上海疾控：下月初接种门诊全面到货！	未
今年流感疫苗为啥“供不应求”？上海疾控中心：12月初全面到货	未
今年流行穿长短，显高10厘米显瘦10斤	未
今年温州已整治19个交通堵点！有你常走的路段吗	未
今年温州的流感疫苗要靠抢官方回应：明年2月恢复正常供应！	未
今年滴滴全员年终奖减半高管无奖励，因表现不如预期	未
今年申购金额31.44亿元 基金公司为何出现自购热	未
今年白涨?国内油价或迎四连跌 基本回吐年内涨幅	未
今年白涨？国内油价或迎四连跌 基本回吐年内涨幅	未
今年的 twipic	未
今年的uus已经不能逛了 去年一模一样的羽绒衣980 今年1580 哄傻子呢 真的是出了名以后就开始宰客了	未
今年的冬天想去峨眉山看雪	未
今年的冬训，中超16队有可能全部赴海外拉练。由于U23联赛正在进行以及新赛季各项政策尚未确定，2019年中超各队的冬训时间与2018年相比都要短一些。目前来看，绝大多数中超球队的海外拉练都将在一地完成。山东鲁能的计划是：1月3日在广州集中，海外拉练的情况则待定	未
今年的团体世乒赛德国韩国之战 波尔VS郑荣植 德国队今年多人遭遇伤病 但依然具有很强竞争力 网页链接	未
今年的圣诞老人有点忙，忙着去实现这些人的路上了！NBA吐槽大会	未
今年的圣诞节陪着你的还是去年那个人吗私服：@LilyBrown官方微博 钟惠玲kiko	未
今年的圣诞限定又想掏空我的钱包我的钱是大风刮来的吗	未
今年的形象停滞在冠军游戏时候，因为从那往后没进步//@乔丹贝尔资讯:去年还是个铃铛，今年终于现原形了！ 查看图片 //@是胖轩呀__:@乔丹贝尔资讯 快来看老贝头	未
今年的总决赛八强，明年有哪几位还能继续出现在伦敦O2体育馆呢（明年再把这条微博捞出来看看你们的预测有多不准） ATP总决赛	未
今年的最后几天啦	未
今年的独生子女护理假 你休了吗截至目前，至少有福建广西湖北海南黑龙江重庆四川河南宁夏内蒙古山西等10余省份出台了具体规定。此外，在湖北黑龙江四川宁夏等地还规定，非独生子女也可享受这一待遇。（中新网）那么问题来了，今年的假期，你休了吗	未
今年的节假日余额为零，请假旅行可能性为零，可是还是抑制不住想浪的心，怎么办赶紧拿上这份攻略，把握好周末两天时光，来一次说走就走的澳门之旅吧！	未
今年的花市何时举办，在哪里举办你们想知道的，都在这条里面了...	未
今年监管层出手短视频之后卸载人群画像：男性用户25岁以上（尤其是41岁以上）用户三四线城市用户千元以上机型用户，都是卸载高发群体，而卸载用户流向，除了即时通讯短视频（主要为头条系和快手）两个领域，泛娱乐领域的电子书（QQ阅读快看漫画）和长视频（优酷爱奇艺腾讯视频）占比很高 ...全文	未
今年看书基本上是扫文案，感兴趣的才会从头读一遍，2018新文重刷的只有这几本:尾鱼的《三线轮回》，凝陇的《红豆生民国》，priest的《无污染无公害》，星球酥《我还没摁住她》，蒋牧童的《时光与他，恰是正好》，漫漫何其多的《AWM[绝地求生]》《AWM[绝地求生]》:现代电竞 甜度： 电竞明星大神慵懒老流氓队长攻x外硬内软孤僻新锐队员受 主角配角均无原型，谢谢大家。 AWM：PUBG游戏中伤害最高获取最难的怪物大狙，空投终极梦想，威力足伤害高，无视任何头部防具爆头一枪倒地，唯一缺点：几率产出	未
今年看烧烤摊	未
今年看起來我勢必要坐遍臺中棒球場的看臺了	未
今年真是通航多事的一年，关注的两位非常有经验的飞行员都因为飞机失事离世，实在是扼腕叹息。R.I.P.	未
今年真的是冷冬天呐我这个做电商的终于熬到一个冷冬下雪天听说东北零下20度了赶紧狐狸毛大毛领走起！！！！我只后会剧透一个战冬微博	未
今年真的是跟税杠上的一年	未
今年种菇不挣钱，责任在谁	未
今年秦安2.5万妇女接受免费检查	未
今年竟然只剩一个月了！赶紧找个工作压压惊	未
今年第一批黄年麻糍开始团购了，秒杀时刻，数量有限！	未
今年第一轮重污染天气来袭 各地迅速启动应急响应	未
今年第三次被叫王回你好 王回先生 我不好迥 迴 确实挺像（但我打赌是她不认识）	未
今年第四撞：光谷有轨电车拦腰撞上闯红灯私家车	未
今年终于不是广寒宫了	未
今年经济增速实现6.5%没有悬念	未
今年缴了220元城乡医保信宜人快看，这些事一定要知道！	未
今年缴了220元城乡医保的电白人速看，这些事情你一定要知道！	未
今年缴了220元新农合的人都来看看，这些事情要早知道！	未
今年缴了220元新农合的吴川人都来看看，这些要早知道！	未
今年缴了220元新农合的广东人都来看看，这些事情要早知道！	未
今年缴了220元新农合的梧州人速看，这些事情你不一定知道！	未
今年缴了220元新农合的泾阳人都瞅瞅	未
今年缴了220元新农合的湛江人都来看看，这些事情要早知道！	未
今年缴了220元新农合的苍梧人速看，这些事情你不一定知道！	未
今年缴了220元新农合的藤县人速看，这些事情你不一定知道！	未
今年缴了220元新农合的都来看看，这些事情要早知道！	未
